"","Date","Blast.Day.Type","Holiday.Type","Time","City","Latitude","Longitude","Province","Location","Location.Category","Location.Sensitivity","Influencing.Event.Event","Target.Type","Targeted.Sect.if.any","Total.Died.Min","Total.Died.Max","Injured.Min","Injured.Max","No..of.Suicide.Blasts","Temperature.C.","Temperature.F.","Is_Suicide","Is_Drone"
"124","Monday-October 6-2008","Working Day","","4:45:00 PM","Bhakkar ",31.6216,71.065,"Punjab","Bhakkar Rasheed Noranni MNA house","Residence","Medium","","Government Official","None",22,26,60,"100","1",29.025,84.245,1,0
"125","Thursday-October 9-2008","Working Day","","12:45:00 PM","Islamabad",33.718,73.0718,"Capital","Islamabad Police line-anti terrorist squad building","Police","High","lawmakers gathered for a secret security briefing","Police","None",NA,NA,6,"12","1",24.17,75.506,1,0
"126","Thursday-October 9-2008","Working Day","","12:55:00 PM","Khyber Agency",34.0211,71.2874,"FATA","near michni post in landi kotal","Mobile","High","","Foreigner","Christian",NA,0,NA,"0","1",24.47,76.046,1,0
"127","Friday-October 10-2008","Working Day","",NA,"Orakzai Agency",32.9746,70.1456,"FATA","anti-taliban Jirga-Khadezai area in upper Orakzai Agency","Park/Ground","Low","","Anti-Militants","Sunni",40,85,90,"200","1",20.58,69.044,1,0
"128","Thursday-October 16-2008","Working Day","",NA,"Swat",35.2227,72.4258,"KPK","Mingora police Station ","Police","High","","Police","None",NA,4,NA,"27","1",19.835,67.703,1,0
"129","Sunday-October 26-2008","Holiday","Weekend","9:45:00 PM","Mohmand Agency",32.9746,70.1456,"FATA","Mohmad Agency-naqi Checkpost ","Military","High","","Military","None",11,10,NA,"5","1",15.35,59.63,1,0
"130","Wednesday-October 29-2008","Working Day","","2:15:00 PM","Bannu",32.9861,70.6042,"KPK","Militay checkpost cantoment area bannu","Military","High","","Military","None",NA,NA,NA,"14","1",22.09,71.762,1,0
"131","Friday-October 31-2008","Working Day","","1:30:00 PM","Mardan",34.1982,72.0444,"KPK","outside the office of Mardan DIG in malakand mardan road","Police","High","","Police","None",9,10,21,"25","1",20.895,69.611,1,0
"132","Sunday-November 2-2008","Holiday","Weekend","9:00 AM","South Waziristan",32.3202,69.8597,"FATA","Zalai FC checkpost wana","Military","High","","Military","None",NA,8,NA,"8","1",21.735,71.123,1,0
"133","Tuesday-November 4-2008","Working Day","","","Hangu",33.5351,71.0713,"KPK","Doabba-checkpost near surpul on hangu tal road","Police","High","","Police","None",NA,7,NA,"4","1",21.11,69.998,1,0
"134","Thursday-November 6-2008","Working Day","",NA,"Swat",35.2227,72.4258,"KPK","Swat Police check post ","Police","High","","Police","None",NA,2,NA,"10","1",16.485,61.673,1,0
"135","Thursday-November 6-2008","Working Day","",NA,"Bajaur Agency",34.8718,71.5249,"FATA","Salarzai Jirga  in batmali area-Bajaur","Park/Ground","Low","tribes were discussing formation of lashkar","Anti-Militants","Sunni",16,23,31,"45","1",16.705,62.069,1,0
"136","Tuesday-November 11-2008","Working Day","",NA,"Peshawar",34.0043,71.5448,"KPK","Qayyum Stadium ","Park/Ground","Low","Sport Stadium","Government Official","None",3,4,13,"20","1",19.17,66.506,1,0
"137","Wednesday-November 12-2008","Working Day","","10:00:00 AM","Charsadda",34.1509,71.7359,"KPK","attack on security forces camp in Subhan Khaur school-shabqadar area near muhamand agency boder","Military","High","","Military","None",NA,7,10,"12","1",19.165,66.497,1,0
"138","Monday-November 17-2008","Working Day","","11:15:00 AM","Swat",35.2227,72.4258,"KPK","Security checkpost in gashgur area of  Khawazakhela","Military","High","","Military","None",NA,10,NA,"8","1",14.075,57.335,1,0
"139","Thursday-November 20-2008","Working Day","","during maghrib prayer","Bajaur Agency",34.8718,71.5249,"FATA","Mosque in Badaan area of mamund","Religious","Medium","maghrib prayer","Religious","Sunni",NA,9,NA,"","1",14.17,57.506,1,0
"140","Friday-November 28-2008","Working Day","",NA,"Buner",34.3943,72.6151,"KPK","near Tarezi Chowk on the main Bannu-Kohat road.","Mobile","High","","Police","",NA,9,NA,"16","1",16.61,61.898,1,0
"141","Monday-December 1-2008","Working Day","","Monday Morning","Swat",35.2227,72.4258,"KPK","sangota checkpost in mingora","Military","High","","Military","None",NA,10,NA,"50","1",15.45,59.81,1,0
"142","Wednesday-December 3-2008","Working Day","",NA,"Charsadda",34.1509,71.7359,"KPK"," Army Convoy passing from shabqadar","Mobile","High","Army convoy ","Military","None",5,6,8,"10","1",15.815,60.467,1,0
"143","Friday-December 5-2008","Working Day","","12:30:00pm","Orakzai Agency",32.9746,70.1456,"KPK","bazar of Kalaia area of lower Orakzai angency","Market","Low","","Civilian","None",6,10,8,"15","1",12.465,54.437,1,0
"144","Tuesday-December 9-2008","Working Day","",NA,"Buner",34.3943,72.6151,"KPK","in Dagar-an area of Buner ","Park/Ground","Low","","Government Official","None",NA,1,NA,"4","1",14.39,57.902,1,0
"145","Sunday-December 28-2008","Holiday","Weekend","10:30:00 AM","Buner",34.3943,72.6151,"KPK","Buner Poling station-Infront of govt high school Shalbandi","Government","High","","Government official","None",34,37,NA,"16","",11.41,52.538,1,0
"146","Sunday-January 4-2009","Holiday","Weekend","7:30:00 PM","D.I Khan",31.8238,70.9095,"KPK","multan road in Deara Ismail Khan","Mobile","High","muharram ul haram rally","Police","",7,10,21,"25","1",11.445,52.601,1,0
"147","Sunday-January 4-2009","Holiday","Weekend","","Bannu",32.9861,70.6042,"KPK","near a check-post in Officers’ Colony","Police","High","","Police","",NA,1,NA,"2","1",8.275,46.895,1,0
"148","Friday-January 23-2009","Working Day","","","Swat",35.3833,72.1833,"KPK","near Mingora town","Military","High","","Military","",NA,2,11,"25","1",12.95,55.31,1,0
"149","Thursday-February 5-2009","Working Day","","6.35 pm","D.G Khan ",30.05,70.6333,"Punjab","Outside Jhar ali Imambargah-in muslim town area ","Religious","Medium","","Religious","Shiite",30,32,48,"55","1",15.105,59.189,1,0
"150","Thursday-February 5-2009","Working Day","","","Swat",35.3833,72.1833,"KPK","near a Police station in the Mingora town of Swat District","Police","High","","Police","",NA,12,NA,"","",9.435,48.983,1,0
"151","Friday-February 6-2009","Working Day","","8.15 am","Khyber Agency",34.0211,71.2874,"FATA","Peshawar-Torkham Highway near Teddi Bazar in Jamrood ","Mobile","Low","struck the trailer when signalled to stop","Foreigner","Christian",NA,0,NA,"7","1",10.32,50.576,1,0
"152","Monday-February 9-2009","Working Day","",NA,"Bannu",32.9861,70.6042,"KPK","Police checkpost on Baran Bridge","Police","High",NA,"Police","None",NA,5,17,"18","1",14.585,58.253,1,0
"153","Friday-February 20-2009","Working Day","","","D.I Khan ",31.8238,70.9095,"KPK","funeral procession on  Dera Bannu road-near shobra hotel","Park/Ground","Low","Funeral Procession of
Imambargah Caretaker","Civilian","Shiite",30,36,150,"200","1",15.555,59.999,1,0
"154","Saturday-February 21-2009","Working Day","","","Bannu",32.9861,70.6042,"KPK","Lakki town","Police","High",NA,"Police","None",NA,2,NA,"","",14.42,57.956,1,0
"155","Monday-February 23-2009","Working Day","",NA,"Bannu",32.9861,70.6042,"KPK","Bannu miranshah road-House of DSP","Residence","Medium","","Police","None",NA,1,NA,"2","",15.7,60.26,1,0
"156","Monday-March 2-2009","Working Day","",NA,"Pishin",30.5833,67,"Baluchistan","Killi Karbala village in Pishin district","Educational","Low","","Government Official","Sunni",5,6,5,"12","1",18.76,65.768,1,0
"157","Wednesday-March 11-2009","Working Day","",NA,"Peshawar",34.0043,71.5448,"KPK","sarki gate area in Nimak Mandi area-Peshawar","Market","Low","Inauguration  of an 
event by Sr Minister","Government Official","None",4,5,NA,"6","1",18.375,65.075,1,0
"158","Monday-March 16-2009","Working Day","","","Rawalpindi",33.6058,73.0437,"Punjab","Rawalpindi cantt-Pirwadhi bus stand","Transport","Low","","Civilian","None",12,15,16,"18","1",20.875,69.575,1,0
"159","Monday-March 23-2009","Holiday","Pakistan Day",NA,"Islamabad",33.718,73.0718,"Capital","sitara maket-special branch police gate","Police","High","","Police","None",NA,2,NA,"8","1",18.575,65.435,1,0
"160","Thursday-March 26-2009","Working Day","","8:30:00 AM","Tank",32.226,70.3761,"KPK","road side restaurant opposite to military base in Jandola","Market","Low","members of peace committe -members of Turkestan group","Anti-Militants","Sunni",7,15,NA,"25","1",14.305,57.749,1,0
"161","Friday-March 27-2009","Working Day","",NA,"Khyber Agency",34.0211,71.2874,"FATA","Mosque in Jamrood Tehsil on peshawar-turkham highway","Religious","Medium","","Religious","Sunni",70,76,100,"175","1",18.595,65.471,1,0
"162","Monday-March 30-2009","Working Day","",NA,"North waziristan",32.9746,70.1456,"FATA","Mirzail checkpost-Miranshah","Mobile","High","security forces convoy was passing from checkpost","Military","None",NA,4,NA,"9","1",14.415,57.947,1,0
"163","Saturday-April 4-2009","Working Day","","7.35 PM/7:37 PM","Islamabad",33.718,73.0718,"Capital","Margala Road Check Post
Islamabad","Military","High",NA,"Military","None",NA,8,4,"7","1",20.17,68.306,1,0
"164","Saturday-April 4-2009","Working Day","","","North waziristan",32.9746,70.1456,"FATA","mirnshah security checkpost","Mobile","High","military convoy was passing from checkpost","Military","None",NA,8,NA,"39","1",15.57,60.026,1,0
"165","Sunday-April 5-2009","Holiday","Weekend","12:30:00 PM","Chakwal ",32.9303,72.8556,"Punjab","Imambargah in Chakwal ","Religious","Medium","Shia Religious Gathering ","Religious","Shiite",22,27,40,"60","1",20.555,68.999,1,0
"166","Wednesday-April 15-2009","Working Day","","Evening","Charsadda",34.1509,71.7359,"KPK","Harichand Police Post-
Charsadda","Police","High",NA,"Police","None",16,18,5,"10","1",NA,NA,1,0
"167","Saturday-April 18-2009","Working Day","","3pm/4.15 pm","Hangu",33.5351,71.0713,"KPK","Check Post close to police station in Doaba Area","Police","High",NA,"Police","None",21,27,26,"65","1",21.175,70.115,1,0
"168","Tuesday-May 5-2009","Working Day","","MORNING","Peshawar",34.0043,71.5448,"KPK","bara qadeem Check post-on peshawar-bara road-12km west of peshawar cantt","Military","High",NA,"Military","None",7,11,25,"48","1",18.615,65.507,1,0
"169","Monday-May 11-2009","Working Day","","9:30 AM","Dara Adam Khel",33.6854,71.5131,"KPK","check post in the Outstrikes of Darra Adamkhel-in area of Sabeena police station","Police","High",NA,"Police","None",10,11,20,"27","1",25.66,78.188,1,0
"170","Thursday-May 21-2009","Working Day","","Late Night/Evening","Tank",32.226,70.3761,"KPK","FC fort in Jandola","Military","High","FC camp","Military","None",6,9,25,"36","1",21.54,70.772,1,0
"171","Wednesday-May 27-2009","Working Day","","10.10 AM/10:30 AM","Lahore",31.5451,74.3407,"Punjab","hit police checkpost outside Rescue 15 Office and country's premier intelligence agency","Police","High",NA,"Police","None",26,27,320,"370","1",33.275,91.895,1,0
"172","Thursday-May 28-2009","Working Day","","5:40pm","Peshawar",34.0043,71.5448,"KPK","Kohat Road-Sira Khora-
Police  Check Post ","Police","High",NA,"Police","None",3,5,3,"9","1",34.19,93.542,1,0
"173","Thursday-May 28-2009","Working Day","","","D.I Khan ",31.8238,70.9095,"KPK","checkpost on circular road","Police","High",NA,"Police","None",3,5,8,"12","1",29.085,84.353,1,0
"174","Friday-June 5-2009","Working Day","","Jummah prayer time","Upper Dir",35.1977,71.8749,"FATA","Masjid in Hayagai Sharqai village","Religious","Medium",NA,"Religious","Sunni",NA,40,50,"70","1",23.36,74.048,1,0
"175","Saturday-June 6-2009","Working Day","","8:35 PM","Islamabad",33.718,73.0718,"Capital","Rescue 15 building in Islamabad ","Police","High","Senior Police Officials meeting","Police","None",2,2,4,"5","1",26.235,79.223,1,0
"176","Tuesday-June 9-2009","Working Day","","10.30 pm","Peshawar",34.0043,71.5448,"KPK","Pearl Continental Hotel
Peshawar","Hotel","Medium",NA,"Foreigner","None",11,15,50,"80","1",29.325,84.785,1,0
"177","Thursday-June 11-2009","Working Day","","Thursday night ","Peshawar",34.0043,71.5448,"KPK","ring road Latifabad-Peshawar ","Police","High",NA,"Police","None",1,2,8,"15","1",30.935,87.683,1,0
"178","Friday-June 12-2009","Working Day","","After Friday prayers","Lahore",31.5451,74.3407,"Punjab","Jamia Naeemia madrassa-Garhai Shahu area","Religious","Medium","","Religious","Sunni",5,7,5,"12","1",35.985,96.773,1,0
"179","Friday-June 12-2009","Working Day","","2.40 Pm","Nowshehra",34.0322,73.0944,"KPK","military run Mosque in Nowshera Cantt-on supply depot morr","Religious","Medium","","Religious","Sunni",4,7,63,"105","1",29.2,84.56,1,0
"180","Monday-June 22-2009","Working Day","","","Swat",35.3833,72.1833,"KPK","Thakot Police check-post in Battagram District.","Police","High",NA,"Police","None",NA,2,NA,"7","",27.665,81.797,1,0
"181","Friday-June 26-2009","Working Day","","6:00:00 AM/6:30:00 AM","Muzaffarabad",34.3597,73.4711,"AJK","near non commisioned officers place-Muzaffarabad","Mobile","High",NA,"Military","None",NA,2,3,"4","1",33.255,91.859,1,0
"182","Tuesday-June 30-2009","Working Day","",NA,"Khyber Agency",34.0211,71.2874,"FATA","Quetta-Khi RCD highway-town of Torkham ","Foreign","High","blew himself up while being searched at the pak-afghna checkpost","foreigner","Sunni",1,4,10,"11","1",31.26,88.268,1,0
"183","Wednesday-July 1-2009","Working Day","",NA,"Peshawar",34.0043,71.5448,"KPK","Mashokhel Mera Area-Kohat Road","Mobile","High","","Unknown","None",NA,1,NA,"","1",30.385,86.693,1,0
"184","Thursday-July 2-2009","Working Day","","4:30pm","Rawalpindi",33.6058,73.0437,"Punjab","KRL Bas at Chur Chowk
on peshawar road-rwp cantt","Mobile","High",NA,"Government official","None",NA,1,25,"40","1",27.29,81.122,1,0
"185","Wednesday-July 8-2009","Working Day","","3:00am","Peshawar",34.0043,71.5448,"KPK","nasir bagh road choongi bazar near police colony","Market","Low",NA,"Police","None",NA,1,2,"5","1",34.825,94.685,1,0
"186","Tuesday-July 28-2009","Working Day","",NA,"North Waziristan",32.9746,70.1456,"KPK","Dirdony post on ghulam khan road-Near Miranshah","Police","High",NA,"Police","None",NA,2,3,"5","1",27.485,81.473,1,0
"187","Thursday-August 13-2009","Working Day","",NA,"South Waziristan",32.3202,69.8597,"FATA","wana bazar","Mobile","Low","leader of Nawaz group-a group against taliban","Anti-Militants","Sunni",4,5,NA,"","1",26.925,80.465,1,0
"188","Saturday-August 15-2009","Working Day","","10:00 AM","Swat",35.2227,72.4258,"KPK","Check post in Khawazakhela- Char Bagh road near-waliabad village","Police","High",NA,"Police","None",3,5,NA,"4","1",32.845,91.121,1,0
"189","Sunday-August 16-2009","Holiday","Weekend",NA,"swat",35.2227,72.4258,"KPK","security forces check point","Police","High",NA,"Police","None",NA,1,NA,"3","1",29.985,85.973,1,0
"190","Tuesday-August 18-2009","Working Day","","7:00 PM","North Waziristan",32.9746,70.1456,"KPK","Esha check post on bannu-miranshah road","Military","High",NA,"Military","None",3,7,NA,"3","1",24.65,76.37,1,0
"191","Friday-August 21-2009","Working Day","",NA,"Kohat",33.5833,71.4333,"KPK","BB Pakdaman Street","Civilian","",NA,"Civilian","None",NA,0,NA,"","1",29.035,84.263,1,0
"192","Saturday-August 22-2009","Working Day","","5:00 PM","Swat ",35.2227,72.4258,"KPK","kanju area of Kabal tehsil","Residence","Low"," police raid in the area ","Police","None",2,3,2,"8","1",26.025,78.845,1,0
"193","Sunday-August 23-2009","Holiday","Weekend","","Peshawar",34.0043,71.5448,"KPK","Momin Town","Residence","Low","Fateh Khawani of Haji Mobin Afridi","Anti-Militants","Sunni",NA,3,NA,"15","1",29.92,85.856,1,0
"194","Thursday-August 27-2009","Working Day","","aftar time","Khyber Agency",34.0211,71.2874,"FATA","security post near Torkham border","Military","High",NA,"Military","None",20,22,10,"27","1",30.08,86.144,1,0
"195","Sunday-August 30-2009","Holiday","Weekend",NA,"Swat",35.2227,72.4258,"KPK","police training center in Mingora","Police","High",NA,"Police","None",16,18,4,"14","1",29.155,84.479,1,0
"196","Saturday-September 12-2009","Working Day","","5 min befor aftar","Hangu",33.5351,71.0713,"KPK","Doaba police station","Police","High",NA,"Police","None",NA,NA,2,"4","1",26.635,79.943,1,0
"197","Sunday-September 13-2009","Holiday","Weekend","","Malakand ",34.503,71.9046,"KPK","checkpost in Thana area-near batkhela","Military","High","","Military","None",NA,1,3,"5","2",28.31,82.958,1,0
"198","Friday-September 18-2009","Working Day","","10:00 AM","Kohat",33.5833,71.4333,"KPK","Kacha pakha bazar-in Astarzai union council area","Market","Low",NA,"Civilian","None",30,37,50,"60","1",29.19,84.542,1,0
"199","Saturday-September 19-2009","Working Day","","Saturday Evening","Dara Adam Khel",33.6854,71.5131,"KPK","Security Check
Post in zorkalay area","Police","High",NA,"Police","None",NA,2,NA,"1","1",29.865,85.757,1,0
"200","Monday-September 21-2009","Working Day","","After Midnight","Totalai",34.2,72.5,"KPK","Tatalai District","Educational","Low","","Government Official","None",NA,0,NA,"","1",26.855,80.339,1,0
"201","Saturday-September 26-2009","Working Day","","7.00 am","Bannu",32.9861,70.6042,"KPK","outside Police Station in mundan area-Bannu","Police","High",NA,"Police","None",7,10,50,"65","1",26.375,79.475,1,0
"202","Saturday-September 26-2009","Working Day","","11.35 am","Peshawar",34.0043,71.5448,"KPK","Fakhar e Alam Road-
Saddar-infront of Askari bank","Bank","Low",NA,"Civilian","None",10,14,50,"120","1",31.075,87.935,1,0
"203","Monday-September 28-2009","Working Day","","Monday Morning","bannu",32.935,70.6688,"KPK","Bakakhel","Mobile","Low","molvi abdul hakeem as goin to attend jirga-anti-talibanic cleric","Anti-Militants","Sunni",4,5,NA,"","1",24.33,75.794,1,0
"204","Monday-October 5-2009","Working Day","","12.15 pm","Islamabad",33.718,73.0718,"Capital","WFP office in islamabad F-8/3","Foreigner","High",NA,"foreigner","Christian",NA,5,3,"8","1",24.935,76.883,1,0
"205","Friday-October 9-2009","Working Day","","12.15 PM","Peshawar",34.0043,71.5448,"KPK","Khayber Bazar-Peshawar","Market","Low",NA,"Civilian","None",48,50,148,"187","1",25.75,78.35,1,0
"206","Monday-October 12-2009","Working Day","","1:00 PM","Shangla ",34.8015,72.757,"KPK","near police station in Alpuri area of shangla District","Mobile","High","military convoy","Military","None",NA,41,45,"50","1",22.04,71.672,1,0
"207","Thursday-October 15-2009","Working Day","","8:00am","Kohat",33.5833,71.4333,"KPK","Kohat Police Station ","Police","High",NA,"Police","None",11,12,20,"24","1",23.25,73.85,1,0
"208","Thursday-October 15-2009","Working Day","",NA,"Lahore",31.5451,74.3407,"Punjab","FIA Headquarter-Manawan Police training school-elite training school","Police","High","N/A","Police","None",NA,18,NA,"50","N/A",25.22,77.396,1,0
"209","Friday-October 16-2009","Working Day","","2:45:00 PM","Peshawar",34.0043,71.5448,"KPK","crimes investigation agency (CIA) in Swati gate-near peshawar cantt","Military","High",NA,"Military","None",14,15,15,"24","1",23.265,73.877,1,0
"210","Tuesday-October 20-2009","Working Day","","2:10:00 PM","Islamabad",33.718,73.0718,"Capital","Islamic International University
Islamabad ","Educational","Low",NA,"Civilian","None",5,6,29,"40","2",21.895,71.411,1,0
"211","Friday-October 23-2009","Working Day","","7.10 am","Attock ",33.7645,72.3667,"Punjab","Kamra chowk-Aeronautical Complex
Security Check Post","Military","High",NA,"Military","None",8,9,13,"17","1",20.865,69.557,1,0
"212","Saturday-October 24-2009","Working Day","","late night","Chakwal ",32.9303,72.8556,"Punjab","checkpost between kalarkahar and lilla interchange-lahore to isb motorway-","Police","High","","police","None",NA,1,NA,"","1",20.485,68.873,1,0
"213","Monday-November 2-2009","Working Day","","10.40 AM","Rawalpindi",33.6058,73.0437,"Punjab","Outside National Bank
Rawalpindi Cantt","Bank","Low",NA,"Civilian","None",35,38,60,"65","1",20.755,69.359,1,0
"214","Monday-November 2-2009","Working Day","","6:40 PM","Lahore",31.5451,74.3407,"Punjab","Checkpost at Babu Sabu Interchange
on Lahore Islamabad Motorway","Police","High",NA,"Police","None",NA,NA,10,"25","1",21.02,69.836,1,0
"215","Sunday-November 8-2009","Holiday","Weekend","9.30 AM","Peshawar",34.0043,71.5448,"KPK","Cattle Market in Adezai
Village in Peshawar","Market","Low",NA,"Government Official","None",12,19,35,"45","1",14.74,58.532,1,0
"216","Monday-November 9-2009","Holiday","Iqbal Day","9.45 AM","Peshawar",34.0043,71.5448,"KPK","police check post near busy intersection that connects charsadda road and ring road-Faqirabad","Police","High",NA,"Police","None",NA,3,5,"7","1",15.475,59.855,1,0
"217","Tuesday-November 10-2009","Working Day","","4:30 PM","Charsadda",34.1509,71.7359,"KPK","ghafoor market in charsadda bazar-tangi road Farooq e Azam Chowk","Market","Low",NA,"Civilian","None",32,34,60,"100","1",15.49,59.882,1,0
"218","Friday-November 13-2009","Working Day","","6.45 AM","Peshawar",34.0043,71.5448,"KPK","Military Check point at the entrance of regional HQ ISI","Military","High",NA,"Military","None",10,13,47,"70","1",17.425,63.365,1,0
"219","Friday-November 13-2009","Working Day","","7.15 am","Bannu",32.9861,70.6042,"KPK","Bakakhel police station on bannu-miranshah road","Police","High",NA,"Police","None",7,8,22,"29","1",10.7,51.26,1,0
"220","Saturday-November 14-2009","Working Day","","4:15 PM","Peshawar",34.0043,71.5448,"KPK","police check post on Pishtakhara Intersection","Police","High",NA,"Police","None",NA,12,25,"35","1",17.01,62.618,1,0
"221","Monday-November 16-2009","Working Day","",NA,"Peshawar",34.0043,71.5448,"KPK","check point outside Badbher-police station","Police","High","N/A","Police","None",NA,3,NA,"43","1",14.65,58.37,1,0
"222","Thursday-November 19-2009","Working Day","","10.20 am","Peshawar",34.0043,71.5448,"KPK","Main Gate of the Judicial
Complex on Khyber Road","Government","High",NA,"Government Official","None",20,22,46,"50","1",15.72,60.296,1,0
"223","Tuesday-December 1-2009","Working Day","",NA,"Swat",35.2227,72.4258,"KPK","District Mangora-Tehsil Kabal
-Dherai area","Residence","Medium","","Government Official","None",1,2,11,"30","1",13.83,56.894,1,0
"224","Wednesday-December 2-2009","Working Day","","1:30:00 PM","Islamabad",33.718,73.0718,"Capital","Naval Complex","Military","High",NA,"Military","None",NA,2,10,"18","1",15.595,60.071,1,0
"225","Friday-December 4-2009","Working Day","","During Friday prayer","Rawalpindi",33.6058,73.0437,"Punjab","Qasim market-Parade Lane Masjid","Religious","Medium","","Military","None",36,40,75,"83","1",16.04,60.872,1,0
"226","Monday-December 7-2009","Working Day","","12:30 PM","Peshawar",34.0043,71.5448,"KPK","At the Gate of Peshawar
Session Court","Government","High",NA,"Government official","None",9,11,37,"50","1",13.765,56.777,1,0
"227","Monday-December 7-2009","Working Day","","8.42 pm","Lahore",31.5451,74.3407,"Punjab","Moon Market Lahore Allama Iqbal Town","Market","Low",NA,"Civilian","None",38,45,100,"135","2",13.12,55.616,1,0
"228","Tuesday-December 8-2009","Working Day","","12.10 PM","Multan",30.1886,71.4559,"Punjab","checkpost near ISI Office building in Qasim Bala area -Multan Cantt","Military","High",NA,"Military","None",8,15,47,"61","1",14.84,58.712,1,0
"229","Tuesday-December 15-2009","Working Day","","2.30 pm","D.G Khan",30.05,70.6333,"KPK","Khosa market near-house of Zulfiqar ali Khosa","Residence","Medium",NA,"Government Official","None",24,33,55,"70","1",16.34,61.412,1,0
"230","Thursday-December 17-2009","Working Day","","","Bannu",32.9861,70.6042,"KPK","Essakhel village-house of Local political leader","Residence","Medium","","Government Official","None",NA,0,NA,"0","1",6.315,43.367,1,0
"231","Friday-December 18-2009","Working Day","","1.30 pm","Lower Dir",34.8453,71.9046,"KPK","mosque on Khursheed police line- civil colony in Timergarah","Religious","Medium","","Police","None",NA,12,28,"35","1",10.69,51.242,1,0
"232","Tuesday-December 22-2009","Working Day","","11:40 AM","Peshawar",34.0043,71.5448,"KPK","Main Gate Peshawar Press 
Club","Office Building","Low",NA,"Media","None",1,3,21,"24","1",13.12,55.616,1,0
"233","Thursday-December 24-2009","Working Day","","11.57 am","Peshawar",34.0043,71.5448,"KPK","junction of mall road and Arbab Road-near PIA Building","Police","High",NA,"Government Official","None",4,5,24,"25","1",13.48,56.264,1,0
"234","Thursday-December 24-2009","Working Day","","10.18 pm","Islamabad",33.718,73.0718,"Capital","Majlis in Shakrial-near darbad saein boota","Religious","Medium","Shia Religious Gathering ","Religious","Shiite",NA,1,1,"4","1",12.7,54.86,1,0
"235","Monday-December 28-2009","Holiday","Ashura","6.30 pm","Muzaffarabad",34.3597,73.4711,"AJK","CMH Road-Muzaffarabad","Park/Ground","Medium","Muharram Procession","Religious","Shiite",10,15,81,"100","1",9.525,49.145,1,0
"236","Friday-January 1-2010","Working Day","","5:00:00 PM","Lakki marwat",32.6018,70.9148,"KPK","Peshawar shah Hasankhel village ground","Park/Ground","Medium","","Civilian","None",88,100,37,"100","1",6.805,44.249,1,0
"237","Wednesday-January 6-2010","Working Day","","6:50:00 AM","Sudhanoti",33.706,73.7242,"AJK","Military Base in tarar khal town sudhanoti district","Military","High","","Military","None",NA,4,11,"12","1",11.39,52.502,1,0
"238","Friday-January 8-2010","Working Day","","","Khyber Agency ",34.0211,71.2874,"KPK","at the gate of the headquarters of the militant group Ansar-ul-Islam in the Tirah area","Religious","low","Ansar-ul-Islam (AI) Shura","Religious","None",NA,8,NA,"11","1",11.33,52.394,1,0
"239","Friday-January 8-2010","Working Day","","","peshawar",34.0043,71.5448,"KPK","Adezai village in Matni on the outskirts of Peshawar","Police","High","","Police","None",NA,0,NA,"6","1",12.075,53.735,1,0
"240","Saturday-January 16-2010","Working Day","","10:00:00 AM/10:15 AM","Poonch",33.8243,73.7949,"AJK","Dothan village near rawlakot","Mobile","High","","Police","None",NA,1,1,"2","1",12.41,54.338,1,0
"241","Saturday-January 23-2010","Working Day","",NA,"Tank",32.226,70.3761,"KPK","gomal police station","Police","High","","Police","None",4,5,3,"11","1",6.015,42.827,1,0
"242","Friday-January 29-2010","Working Day","",NA,"Bajaur Agency",34.8718,71.5249,"FATA","Bajor agency headquarter (khar town) security check post","Military","High","","Military","None",16,17,26,"47","1",6.905,44.429,1,0
"243","Wednesday-February 10-2010","Working Day","",NA,"Khyber Agency",34.0211,71.2874,"KPK","Jamrud tehsil Khyber agency","Mobile","High","","Military","None",17,22,6,"11","1",8.07,46.526,1,0
"244","Thursday-February 11-2010","Working Day","","Maghrib prayers","Bannu",32.9861,70.6042,"KPK","Bannu police Lines 2-","Police","High","","Police","None",NA,15,25,"30","2",2.32,36.176,1,0
"245","Thursday-February 18-2010","Working Day","",NA,"Khyber Agency",34.0211,71.2874,"KPK","LI center near Darss Mosque in akakhel area of Tirah valley","Religious","Medium","Lashkar-e-Islam Commander was the target","Anti-Militants","Sunni",22,31,30,"110","1",11.835,53.303,1,0
"246","Saturday-February 20-2010","Working Day","","9:30:00 AM","Mansehra",34.3333,73.2,"KPK","Balakot police station","Police","High","","Police","None",NA,1,4,"10","2",13.74,56.732,1,0
"247","Monday-February 22-2010","Working Day","","4:20:00 AM","Swat",35.2227,72.4258,"KPK","Mingora-Nishat Chowk","Mobile","High","attack on security forces vehicle","Military","None",7,13,37,"41","1",11.66,52.988,1,0
"248","Saturday-February 27-2010","Holiday","Eid Milad un-Nabi",NA,"Karak",33.1193,71.0951,"KPK","Karak Police Station","Police","High","","Police","None",NA,4,23,"24","2",11.69,53.042,1,0
"249","Friday-March 5-2010","Working Day","",NA,"Hangu",33.5351,71.0713,"KPK","Tal parachinar road in the jurisdiction of dandore area of Hangu","Mobile","Low","","Civilian","Shiite",12,14,30,"35","1",12.35,54.23,1,0
"250","Monday-March 8-2010","Working Day","","8:20:00 AM","Lahore ",31.5451,74.3407,"Punjab","(SIA ) office-model Town area","Office Building","High","","Military","None",13,14,80,"100","1",20.46,68.828,1,0
"251","Friday-March 12-2010","Working Day","","12:45:00 PM","Lahore ",31.5451,74.3407,"Punjab","Lahore Cant R.A Bazar Stop","Military","High","","Military","Sunni",43,57,90,"100","2",23.32,73.976,1,0
